GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
utente,com.prenotazioni.utente.Controller,UserControllerQuery,0,32,0,0,0,8,0,6,0,6
utente,com.prenotazioni.utente.Controller,UserControllerCommand,6,137,1,1,1,38,1,6,0,6
utente,com.prenotazioni.utente.Services,UserServiceQuery,0,67,0,6,0,15,0,9,0,6
utente,com.prenotazioni.utente.Services,UserServiceCommand,6,171,5,13,1,43,5,11,0,7
utente,com.prenotazioni.utente,UtenteApplication,5,110,0,0,2,16,1,2,1,2
utente,com.prenotazioni.utente.Config,ConfigSwagger,0,34,0,0,0,9,0,3,0,3
utente,com.prenotazioni.utente.Config,KafkaPublisherConfig,0,36,0,0,0,8,0,4,0,4
utente,com.prenotazioni.utente.Exception,ExceptionNoEnoughMoney,0,4,0,0,0,2,0,1,0,1
utente,com.prenotazioni.utente.Exception,ExceptionNoUser,0,7,0,0,0,3,0,2,0,2
utente,com.prenotazioni.utente.Entity,User,10,58,0,0,2,14,3,10,3,10
