GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoFreePosto,0,3,0,0,0,2,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoSpettacolo,0,3,0,0,0,1,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoUser,0,3,0,0,0,2,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoPosto,0,3,0,0,0,2,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoEnoughMoney,0,3,0,0,0,1,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Exception,ExceptionNoSala,0,3,0,0,0,2,0,1,0,1
api-gateway,com.prenotazioni.apigateway.Config,SwaggerConfig,0,34,0,0,0,9,0,3,0,3
api-gateway,com.prenotazioni.apigateway.Controllers,BigliettoController,42,39,2,0,12,13,2,2,1,2
api-gateway,com.prenotazioni.apigateway.Controllers,UserControllerCommand,15,35,0,0,10,6,0,6,0,6
api-gateway,com.prenotazioni.apigateway.Controllers,SpettacoloControllerCommand,21,52,0,0,14,9,0,8,0,8
api-gateway,com.prenotazioni.apigateway.Controllers,UserControllerQuery,0,22,0,0,0,6,0,4,0,4
api-gateway,com.prenotazioni.apigateway.Controllers,SpettacoloControllerQuery,0,49,0,2,0,15,0,6,0,5
api-gateway,com.prenotazioni.apigateway,ApiGatewayApplication,5,7,0,0,2,2,1,2,1,2
api-gateway,com.prenotazioni.apigateway.Services,ApiGatewayServiceCommand,8,399,1,3,1,54,1,14,0,13
api-gateway,com.prenotazioni.apigateway.Services,ApiGatewayServiceQuery,232,399,26,42,34,80,17,27,0,10
api-gateway,com.prenotazioni.apigateway.Entity,Posto,7,44,0,0,1,12,1,9,1,9
api-gateway,com.prenotazioni.apigateway.Entity,User,9,43,0,0,1,11,3,7,3,7
api-gateway,com.prenotazioni.apigateway.Entity,Spettacolo,0,80,0,4,0,17,0,11,0,9
api-gateway,com.prenotazioni.apigateway.Entity,Sala,0,68,0,4,0,15,0,9,0,7
